2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.01581 | 0.015898 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'demo_member' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.013839 | 0.013869 | SHOW COLUMNS FROM `iwide_core_admin` | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.01129 | 0.011316 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.011025 | 0.011052 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'demo_member' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.007876 | 0.007901 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.013644 | 0.013673 | UPDATE `iwide_core_admin` SET `admin_id` = '5', `role_id` = '1', `inter_id` = 'a429262687', `entity_id` = '', `username` = 'demo_member', `password` = 'c129b324aee662b04eccf68babba85851346dff9', `nickname` = '会员模块演示号', `head_pic` = '', `parent_id` = '0', `email` = 'abc@abc.com', `create_time` = '2015-11-23 17:57:15', `update_time` = '2017-07-18 11:23:49', `remark` = '', `status` = '1', `wx_code` = '', `is_wx_report` = '1', `is_em_report` = '1', `is_sms_report` = '1', `publics` = 'a441624001,a450089706,a468920747,a468923335' WHERE `admin_id` = '5' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:49 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.013425 | 0.013452 | SELECT * FROM `iwide_core_admin_role` WHERE `role_id` = '1'  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:50 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.01447 | 0.014516 | SHOW COLUMNS FROM `iwide_core_admin_log` | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:50 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.013976 | 0.014004 | INSERT INTO `iwide_core_admin_log` (`action_type`, `admin_id`, `action_info`, `action_controller`, `action_model`, `module`, `remote_ip`, `action_time`) VALUES ('1', '5', '登陆成功', 'Auth', '', 'privilege', '2130706433', '2017-07-18 11:23:49') | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 11:23:50 | 7416 | /index.php | query | f7ceea1ae01bc1ad33835ecf5836881bc4b604f8 | 0.011877 | 0.011905 | SELECT `inter_id`, `name`, `run_status`, `arrearage_money`, `stop_service_time` FROM `iwide_publics` WHERE `inter_id` IN('a429262687') AND `run_status` IN('arrearage', 'stop') | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-18 14:15:08 | 8463 | /index.php | query | 56ecdf2f65c3c62cbd4edebf5fb7ea67d6ba388b | 0.012148 | 0.012232 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
